set Shifts := 
M1 M2 M3 M4 M5 M6 M7
T1 T2 T3 T4 T5 T6 T7
W1 W2 W3 W4 W5 W6 W7
R1 R2 R3
F1 F2
S1 S2 S3 S4 S5
U1 U2 U3 U4 U5 U6;

param n := 22;
param m := 70;

# set Grutors := 1..22;

# set Students := 1..70;

# integer value from 0 - 2 depending on how student g indicated their preference for shift t
param studentPrefs:
M1 M2 M3 M4 M5 M6 M7
T1 T2 T3 T4 T5 T6 T7
W1 W2 W3 W4 W5 W6 W7
R1 R2 R3
F1 F2
S1 S2 S3 S4 S5
U1 U2 U3 U4 U5 U6 :=
1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	2	1
2	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	2	0	1	1	0	1	1	1	0	1	2	1	1	0	0	1	1	1	1	0
3	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	2	0	1	0
4	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	2	1	1	2	1	0	0	0	1	0
5	1	1	0	1	0	1	1	1	1	1	0	1	1	2	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1
6	1	0	2	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1
7	0	1	0	2	0	0	0	1	1	0	1	0	0	1	2	0	0	1	1	1	1	1	0	1	1	1	2	1	1	1	2	1	1	2	1	1	1
8	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1
9	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1
10	0	1	1	1	2	1	1	0	2	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1
11	1	1	0	0	1	0	1	0	1	1	1	2	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0
12	1	0	0	1	0	1	0	0	1	1	0	2	0	1	2	1	1	0	1	2	1	1	1	1	1	2	0	1	1	1	2	0	0	1	1	1	1
13	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	2	1	0	0	1	1	1	0	1	1	2	1	0	1	1	0	1	1	1	0
14	1	0	1	1	1	1	0	1	0	0	1	0	0	2	1	1	1	1	1	1	0	2	1	1	2	1	1	1	1	1	0	1	1	1	1	1	0
15	1	1	0	1	0	1	1	0	1	0	1	1	1	2	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0
16	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	2	0	1	1	1	1
17	1	0	0	2	0	0	0	1	0	2	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	1	0	0	0	0	1	1
18	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0
19	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	2	1	1	1	0	1	0	1	0	1	1	2	0	1	0	0	1	1	0	1	1	0
20	1	1	1	1	1	2	0	1	0	1	1	2	2	1	1	1	1	1	1	0	1	1	1	1	0	0	2	0	1	1	1	1	0	1	1	0	1
21	1	0	0	0	1	1	1	1	1	2	1	1	1	0	1	2	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	2	0	1	1
22	1	0	1	1	1	0	1	2	0	0	1	0	0	0	1	1	1	0	1	1	0	1	2	1	0	1	0	1	1	1	1	0	1	0	0	1	1
23	1	1	2	1	1	1	1	2	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	0	1	1
24	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	2	1	1	1	1	0	1	0	0	2	1	1
25	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	2	1
26	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	2	1	1	0	1	0	0	0	0	1	1	0	1	1	2	2	1	2	1	1
27	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	2	1	0	0	0	0	1	0	1
28	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2	1	1	1	0
29	1	1	1	1	1	1	1	2	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1
30	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	2	1	1	1	1	0	0	1	1	1	1	1	0
